Date : 2019-12-30 11:23:43
Directory : /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run
Total : 89 files,  11200 codes, 2014 comments, 3350 blanks, all 16564 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/Utils/Intrinsics.cpp                   | C++          |          6 |          5 |          4 |         15 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/Utils/Intrinsics.h                     | CUDA C++     |         36 |         17 |         12 |         65 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/Utils/Jacobian.h                       | CUDA C++     |         46 |         17 |         15 |         78 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/Utils/OdometryProvider.h               | CUDA C++     |         56 |         18 |         23 |         97 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/Utils/OrderedJacobianRow.h             | CUDA C++     |         46 |         19 |         12 |         77 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/Utils/Parse.cpp                        | C++          |         71 |         18 |         20 |        109 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/Utils/Parse.h                          | CUDA C++     |         31 |         17 |         14 |         62 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/Utils/RGBDOdometry.cpp                 | C++          |        462 |         20 |        127 |        609 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/Utils/RGBDOdometry.h                   | CUDA C++     |         83 |         17 |         37 |        137 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/Utils/Resolution.cpp                   | C++          |          6 |          5 |          4 |         15 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/Utils/Resolution.h                     | CUDA C++     |         41 |         17 |         13 |         71 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/Utils/Stopwatch.h                      | CUDA C++     |        173 |         17 |         44 |        234 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/Utils/WindowsExtras.cpp                | C++          |         26 |          6 |          9 |         41 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/Utils/WindowsExtras.h                  | CUDA C++     |          6 |          5 |          6 |         17 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/GPUTest/src/GPUTest.cpp                         | C++          |        234 |         17 |         83 |        334 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/GUI/src/FindBLAS.cmake                          | CMake        |        458 |          0 |         48 |        506 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/GUI/src/FindLAPACK.cmake                        | CMake        |        282 |          0 |         36 |        318 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/GUI/src/FindOpenNI2.cmake                       | CMake        |         69 |          0 |          9 |         78 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/GUI/src/FindRealSense.cmake                     | CMake        |          5 |          0 |          5 |         10 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/GUI/src/FindSuiteSparse.cmake                   | CMake        |        108 |          0 |         13 |        121 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/GUI/src/Findefusion.cmake                       | CMake        |         26 |          0 |          6 |         32 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/GUI/src/Main.cpp                                | C++          |          7 |         17 |          5 |         29 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/GUI/src/MainController.cpp                      | C++          |        448 |         17 |        104 |        569 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/GUI/src/MainController.h                        | CUDA C++     |         51 |         17 |         16 |         84 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/GUI/src/Tools/CameraInterface.h                 | CUDA C++     |         18 |          0 |          7 |         25 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/GUI/src/Tools/GUI.h                             | CUDA C++     |        316 |         20 |         99 |        435 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/GUI/src/Tools/GroundTruthOdometry.cpp           | C++          |         71 |         18 |         17 |        106 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/GUI/src/Tools/GroundTruthOdometry.h             | CUDA C++     |         27 |         17 |         11 |         55 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/GUI/src/Tools/JPEGLoader.h                      | CUDA C++     |         56 |         18 |         28 |        102 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/GUI/src/Tools/LiveLogReader.cpp                 | C++          |         99 |         17 |         31 |        147 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/GUI/src/Tools/LiveLogReader.h                   | CUDA C++     |         46 |         17 |         23 |         86 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/GUI/src/Tools/LogReader.h                       | CUDA C++     |         64 |         17 |         21 |        102 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/GUI/src/Tools/OpenNI2Interface.cpp              | C++          |        234 |         19 |         48 |        301 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/GUI/src/Tools/OpenNI2Interface.h                | CUDA C++     |        123 |         19 |         41 |        183 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/GUI/src/Tools/RawLogReader.cpp                  | C++          |        134 |         17 |         41 |        192 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/GUI/src/Tools/RawLogReader.h                    | CUDA C++     |         31 |         17 |         19 |         67 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/GUI/src/Tools/RealSenseInterface.cpp            | C++          |        107 |          0 |         24 |        131 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/GUI/src/Tools/RealSenseInterface.h              | CUDA C++     |        110 |          1 |         34 |        145 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/GUI/src/Tools/ThreadMutexObject.h               | CUDA C++     |         87 |         17 |         41 |        145 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/README.md                                       | Markdown     |        138 |          0 |         57 |        195 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Tips.md                                         | Markdown     |          3 |          0 |          3 |          6 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/build.sh                                        | Shell Script |         53 |          5 |          7 |         65 |
| Total                                                                                              |              |     11,200 |      2,014 |      3,350 |     16,564 |
+----------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
